content,score,preprocess
kok setiap updet harus download lagi data² nya,1,updet download data
bagus buat ngisi waktu luang atau pas ngumpul ama teman² bisa mabar,5,bagus ngisi luang ngumpul teman mabar
"magic chess cacat cuman beberapa hari gk login masa suruh download dri 0 lgi,gk jeles,tolong di perbaikinn lgi,magic chess nya monton cacat",1,cacat cuman tidak login suruh download lgigk jelestolong perbaikinn lgimagic monton cacat
Cukup buat ngisi waktu pas istirahat kerja,5,ngisi istirahat kerja
update terbaru bener2 Update terburuk sejauh ini,2,update baru update buruk
wah gold rush kembali makasih monton,5,gold rush terima monton
"seru banget mainin nya, aku suka sinergi Doomswor",4,seru mainin suka sinergi doomswor
mic nya kadang masih sering putus,5,mic kadang putus
suka bug blessing ga bisa di ubah sama suka ngtrol hero nya,3,suka bug blessing tidak ubah suka ngtrol hero
kasih hadiahnya,5,hadiah
OKEEEEEEEEEEEE,5,okeeeeeeeeeeee
lebih adil game play nya dr pada mlbb kalau dpt tim anomali,5,adil play mlbb tim anomali
"seru bgt game ini. saran sih. kalau bisa pas Hero bintang 1 mending g usah pake skin, baru bintang 2 tmbh silkin biasa, trus bntg 3 pakein yg bagus skinnya. mudah""an di baca. trmksh.",5,seru saran hero bintang mending skin bintang silkin bntg pakein bagus skinnya mudah baca trmksh
pertahankan mode nostalgia nya. saya suka itu,5,tahan mode nostalgia suka
setiap kali update harus download data lebih dari setengah versi lama apakah karna kontennya semua baru atau bagaimana?,4,update download data versi konten
kurangin scamm roll nyaa,5,kurang scamm roll
lebih suka yg ini kaya spt pas masih gabung di mlbb,5,suka gabung mlbb
apalah blessing ny ga bisa di gunakan setelah update,3,apa blessing tidak update
kurang apa ya. gak tau sih kurang apa,4,kurang tidak kurang
"Habis kelar match tiba-tiba updet ""Versi tidak lagi valid, silahkan keluar"" Rabu/23/7/2025. 10.57am",3,habis kelar match tibatiba updet versi tidak valid silah rabu
match making blm seimbang,1,match making belum imbang
asyik kita menang..,5,asyik menang
toxic,1,toxic
game rusakkk masa Iyah gua udah download data di suruh download data ngulang kocak ni game developer nya ke gimana bisa bikin game bener kaga,1,rusakkk iya download data suruh download data ngulang kocak nih developer kagak
"musuhnya banyak cheaternya jadi males, baru 2kali pertandingan udah langsung 2 bintang, ada malah 3 bintang 4 hero gak masuk akal,...",1,musuh cheaternya malas tanding langsung bintang bintang hero tidak masuk akal
"UNTUK YG SUKA MENGASAH OTAK , INI GAME REKOMENDASI BANGET 👍🏻",5,suka asah otak rekomendasi
rindu sinergi kangkung🫡,5,rindu sinergi kangkung
okeh lah ya buat yang malas login Ml seperti ku,4,okeh malas login ml
sediain lah vitur ganti akun yaelah,3,ain vitur ganti akun yaelah
game rusak jngan pernah main ini game,1,rusak jangan
game cacad masih banyak kekurangan,3,cacad kurang
well,5,well
Gacorr,5,gacorr
"sangat bagus tapi sangat susah dapat skin "" menarik yg gratis mohon di support biar Tamba banyak peminatnya kalo bole saran😇",5,bagus tapi susah skin tarik gratis mohon support biar tamba minat saran
uwapik,5,uwapik
BALIKIN GOLD RUSH!!!!!!,5,balikin gold rush
"sama sama montod jadi gak jauh beda, bedanya main ni game tergantung mood developer",1,montod tidak beda beda nih gantung mood developer
ga guna kalah cuma sama 1 hero doang,1,tidak kalah hero doang
game nya asik dan menyebakan,5,asik seba
GAME TOLOL. GAME SETTINGAN,1,tolol settingan
"saran saya tolong adain fitur offline nya soalnya banyak orang yg tidak berkecukupan untuk membeli paket data , ngga apa"" sama computer juga semoga kedepannya fitur ini di ada kan biar player yang tidak berkecukupan bisa mengasah sekil mereka dengan adanya fitur offline ini🙏🙏🙏🤲🤲🤲",3,saran tolong ada fitur offline orang tidak cukup beli paket data computer moga depan fitur biar player tidak cukup asah sekil fitur offline
mencoba semoga akun ku hoki,5,coba moga akun untung
"aneh gak logis,Hero 5 gold kalah sama 1 gold",1,aneh tidak logishero gold kalah gold
Comandder nya bagus Daan pasif guin enak,5,comandder bagus daan pasif guin enak
"pantesan rate game nya jelek, orang maen pun dikasi rate hero jelek, di perbaiki sistem nya uda LV 9 hero ga muncul muncul",1,pantesan rate jelek orang kasi rate hero jelek baik sistem lv hero tidak muncul muncul
"game gaje bikin pusing naik turun bintang,nyari Hero yang dibutuhin susah banget mending MC dulu dari pada sekarang",1,pusing turun bintangnyari hero dibutuhin susah mending
monton 4nj1ng ketemu musuh nabrak sinergi terus ga pernah dikasi menang selalu aja ada yang nabrak,2,monton njng ketemu musuh nabrak sinergi tidak kasi menang nabrak
"Bisa bisa nya akun gua di login orang, trs gua ga bisa login. padahal akun nya udah nyantol sama akun moonton mobile legend gua. perbaikin lg dong!!! masa bisa keretas sama org lain!!!!",1,akun login orang tidak login akun nyantol akun mobile legend baik retas orang
cuman kurang hadiah,5,cuman kurang hadiah
kenapaaa selalu kalau darah tingal sedikit ketemu yang ber api api tolong segera di perbaiki,2,kenapaaa darah tinggal sedikit ketemu ber api api tolong baik
gblk gaada yg nabrak ttp gk D kasih heronya,1,gblk nabrak tidak hero
"dark system banget ya Allah, jangan install game ini ya teman2 kalo kalian ga mau kalian banting hp kalian",1,dark sistem allah jangan install teman tidak banting ponsel
"jngn event Mulu yg di urusin,hadiah dari event gitu-gitu doang jelek lagi,mending urus buat pengembangan game play,keseimbangan dan Hero juga sinergi nya yang seimbang,masing-masing harus ada Hero counter nya biar adil dan seimbang sama kuat,ini mah berat sebelah antara Hero dengan Hero ada yang kuat banget,sedangkan di toko pemilihan Hero terbatas terus di up muncul Hero yang lemah pula,gimana si, event Mulu jualan Mulu di urusin",3,jangan event mulu urusinhadiah event gitugitu doang jelek lagimending urus kembang playkeseimbangan hero sinergi seimbangmasingmasing hero counter biar adil imbang kuatini mah berat belah hero hero kuat bangetsedangkan toko pilih hero batas up muncul hero lemah pulagimana event mulu jual mulu urus
game banyak strategi,5,strategi
game monyet untuk monyet,1,monyet monyet
jangan di download game nih yaa..gak guna..emosi doang yg ada..,2,jangan download nih yaagak gunaemosi doang
game terbaik lebih bail daripada MobileLegend Mobile Legend adahal game sampah beda dengan mc gg gamaenya kerennn,5,baik bail mobilelegend mobile legend adahal sampah beda gamaenya keren
nah baru di update kn seru dri pda yg kmarin mode nya new kek apa aja di ubah ubah.,5,update seru kmarin mode new ubah ubah
game judi harus di blacklist dari play store,1,judi blacklist play store
please moonton ga usah ganti ganti lagi sinergy nya yaaa 🙏🙏,5,please tidak ganti ganti sinergy
yerbaik,5,yerbaik
lumayan menarik bagi saya 🙋,5,lumayan tarik
"Susah dapet Chess Point, ga kayak dulu tiap pertandingan dapat Battle Point",1,susah point tidak tanding battle point
coba benerkan masalah jaringan daripada nanti bnyk yg merasa males maen lg,1,coba benerkan koneksi malas
okee kereen,5,okee keren
ilangin rasa jenuhh,5,ilangin jenuhh
nerf komentar miya sama wanwan montok,2,nerf komentar miya wanwan montok
your system suck's,1,your sistem sucks
kecilkan lagi memorinya,5,kecil memori
Sangat seru dan mililikan👍,5,seru mililikan
"lumayan lah buat ngilangin stres, bikin kangen magic chess dulu",5,lumayan ngilangin stres kangen
"Game aneh ada aja perubahannya, udh tau sekarat pas lawan top 1 trus kalah, malah ketemu clone dia lagi.. lucu lucu, ga ketebak ni game 😂😂",1,aneh ubah sekarat lawan top kalah ketemu clone lucu lucu tidak tebak nih
maaf saya waktu dapet event Ling serene plume di magic chess ini tapi knpa ya untuk skin yng sudah di dapatkan tidak bisa di pakai mohon penjelasannya ( waktu itu dapet tapi waktu pakai skin seperti tidak dapet skin nya tersebut @magic ches,1,maaf event ling serene plume tapi skin dapat tidak pakai mohon jelas tapi pakai skin tidak skin ches
pokonya seru banget,5,pokok seru
ter baik,5,ter
"benerin server lu pemai, masa abis update server nya erorr pemaiemang game satu ini",5,benerin server lu mai habis update server erorr pemaiemang
"bagusss sih min, tapi tolong evaluasi dri kemunculan hero, skill commander, sama efisiensi card nya euy, membantu sih, tapi support card buat sinergi tuh kurang min, kurangg euy",5,bagus min tapi tolong evaluasi muncul hero skill commander efisiensi card euy bantu tapi support card sinergi tuh kurang min kurangg euy
sekarang mau update susah tolong diperbaiki min,4,update susah tolong baik min
"bosookkkkk, kikir",1,bosookkkkk kikir
update resource baru malah stuck di logo update gara2 gagal mengunduh resource aneh,1,update resource stuck logo update gara gagal unduh resource aneh
"Saya bermain dengan teman saya di chat global tpi pas habis match malah loading lama bgt, pas masuk malah di suru Announcement download update pdhl di play sore ga lagi update gmna sih, gw nunggu lama bgt buat update gada tuh",3,main teman chat global tapi habis match loading masuk suruh announcement download update play sore tidak update nunggu update tuh
mantap mantap mantap mantap mantap,5,mantap mantap mantap mantap mantap
mntab,5,mntab
bisa buat pengganti slot bikin nagi jugak,5,ganti slot nagi
"game dancok, sekalian gk usah pakai hero. hero muncul kagak pernah jelas",1,dancok tidak pakai hero hero muncul kagak
"Comender tharz apaan dah jadi busuk kek gitu kalo ngga niat apus aja comendernya,udah damage nggak jelas 10 sinergi menang kalah ama 6 sinergi.",1,comender tharz busuk niat hapus comendernyaudah damage sinergi menang kalah sinergi
game nya baguss mudah banget juga saya sangat senang bermain game ini,1,bagus mudah senang main
mantap untuk mengisi waktu kosong,4,mantap isi kosong
jangan hapus Astro,5,jangan hapus astro
"game kontil , gk pernah dikasih menang",1,kontil tidak kasih menang
ini mah bukan game strategi tapi game keberuntungan kalo beruntung dalet hero bisa jadi menang kalo ga udah pasti kalah tay,1,mah bukan strategi tapi untung untung dalet hero menang tidak kalah tahi
game wajib topup.... g topup jgn berharap naek level..... maen cm naek turun... naek turun... dah kaya ingus....,1,wajib topup topup jangan harap level turun turun ingus
"game scam, 99 eru keluar hero ampas semua, gaada yang masuk sinergi nya, malah bikin blunder, ngumpulin nya setengah mati",1,scam eru hero ampas masuk sinergi blunder ngumpulin mati
perbaiki bug yang hero sama sama mati tapi bukanya seri malah salah satu kalah,1,baik bug hero mati tapi buka seri salah kalah
seruuuu cuyyyyy,5,seruuuu cuyyyyy
semakin buruk jaringannya dan game playnya,1,buruk jaring playnya
games yg menarik.. bagus👍👍👍,5,games tarik bagus
permainan nyantai yg gak bikin tegang,5,main nyantai tidak tegang
menghilangkan suntuk,5,hilang suntuk
grafik nya kurang bagus perlu ditingkatkan dan efeknya,3,grafik kurang bagus tingkat efek
💕😍seru.. main nya bisa sambil ngerjakan yg lain... keren dah.......,5,seru ngerjakan keren
"menurut aku game ini udh bagus bngt , cuman masih perbaikan di sinyal saja untuk lebih overaalll udh bgus , Ohh iya bagi yang bilang susah ini game atau dapat sinergi yang tidak sama dan apalah itu kalian yang dark sistem main kayak gini aja nggk bisa. apalagi main game moba tambah susah kalian teruntuk player yang bodoh ...!!!",5,bagus cuman baik sinyal overaalll bagus oh iya bilang susah sinergi tidak apa dark sistem moba susah untuk player bodoh
kadang2 layarnya berubah jadi biru semua,3,kadang layar ubah biru
Game yg sanggat bagus dan tidak bosan,5,bagus tidak bosan
"udah suka banget sih tapiiiii ini kan game strategi ya kan menurut saya sangan kurang cocok jika ada comender comender yang masih menyerang hero kita kan butuh strategi skaligus mencoba keberunungan dalam setiap game nya menurut saya sangat tidak cocok apa bila vomender seperti halnya (layla,miya,wanwan,lukas dll yang menyerang hero)mereka hanya bermain dengan meletakkan hero saja sudah menang tuh kita yang usaha dapet hero bagus suda tusun duluan karna di tembak dari awal oleh comender"" tersbut",4,suka tapiiiii strategi sangan kurang cocok comender comender serang hero butuh strategi skaligus coba keberunungan tidak cocok vomender hal laylamiyawanwanlukas dll serang heromereka main letak hero menang tuh usaha hero bagus suda tusun duluan tembak comender tersbut
tolong dong Karina di nerf merusak meta hero karena terlalu rusuh terhadap hero,1,tolong karina nerf rusak meta hero rusuh hero
sangat menghibur kami berterimakasih padamu,5,hibur berterimakasih pada
Mau nya ada sesi di mana player bisa nge buff sendiri Hero yang mereka mau menjadi 5gold untuk hyper. Jadi setiap player bisa memiliki hyper berbeda. Tapi Hero legend di tiadakan kecuali Hero 4gold. Baru lah semua Hero bisa berguna di mainkan. Kalau cuma bergantung Hero paling mahal baru bisa hyper. Gemplay akan membosankan dan itu-itu aja yg di pertandingan dengan syarat tidak berlaku buat Hero yang sudah di miliki. jadi setelah di buff Hero tersebut akan muncul shop. di ronde 8/9,5,sesi player nge buff hero gold hyper player milik hyper beda tapi hero legend tiada kecuali hero gold hero guna main gantung hero mahal hyper gemplay bosan ituitu tanding syarat tidak laku hero milik buff hero muncul shop ronde
P info mabar🤪,5,p info mabar
game sip,5,sip
keren lebih mending dari ML gak ada dark sistem cuma hoki hoki an aja sih...,5,keren mending ml tidak dark sistem untung untung
"dri magic chess di mlbb, lebih suka main chess nya",5,mlbb suka
"game rusak,jaringan wifi atau telkomsel pun ngak berguna,, main sampai legend,habis tu di kasi kalah terus,apa pun synergy yg di main kan bakal ngak jadi,game strategi sampah,ada nya main nasib,mending mlbb,lebih jelas",1,rusakjaringan wifi telkomsel guna legendhabis kalah terusapa synergy jadigame strategi sampahada nasibmending mlbblebih
"saya suka grapik nya dan juga game nya,",5,suka grapik
Plagiat TFT dengan penuh ketidak seimbangan dan unsur pay to win,1,plagiat tft penuh tidak imbang unsur pay tapi win
hero sulit di dapat sering membingungkan buat linup,2,hero sulit bingung lup
Ga jelas roll nya,1,tidak roll
pengalaman yang sangat tidak masuk akal. matchmaking dalam pertandingan terlalu random dan sangat tidak seimbang,1,alam tidak masuk akal matchmaking tanding random tidak imbang
sangat senang bermain di magic chess:GoGo,5,senang main chessgogo
so good,5,so good
"mcgg busuk,, makin hari makin busuk,, suka2 montoon maw menang siapa,, menang bkn karna jago, karna soopnya bagus,,",1,busuk busuk suka montoon menang menang jago soopnya bagus
keren sukak sekali,5,keren suka
bagus dan asik,5,bagus asik
"game scam,game hoki hokian tidak fair",1,scamgame untung hoki tidak fair
SISTEM LO BENERIN GAME TAIK,1,sistem lo benerin tahi
"Dark systemnya bukan playernya cokk,tapi moonton itu sendiri",1,dark systemnya bukan playernya cokktapi
"ga jelas udah update sekarang,algoritma nya buruk",1,tidak update sekarangalgoritma buruk
kalah terus cokkkk,5,kalah cokkkk
lag bgt buat bikin kombo gk bisa kebanyakan lag tba tiba menghubungkan kembali mulu,1,lag kombo tidak banyak lag tba hubung mulu
game nya seru banget ayo main MC Gogo sekarang,5,seru ayo gogo
"ngapain jir,enakan mc dri ml nya langsung,sekarang ga bisa main mc dri ml nya",1,jirenakan ml langsungsekarang tidak ml
game aneh,1,aneh
"hero yang diperlukan sesuai sinergi susah dicari, sistemnya semakin buruk",1,hero sesuai sinergi susah cari sistem buruk
game yang bagus dan seru dimainkan,5,bagus seru main
"game gajelas, banyak ga seimbangnya, game undered",5,tidak imbang undered
"Moonton sehat ???? kenapa dengan akun saya ?! ada masalah kah ??? Mobile legend , Magic chess , kenapa selalu di buat leg parah.. padahal sinyal saya bagus dari awal main . seharusnya di bantu dong yang hadir komplain disini ,!! bukan malah seakan di sengaja.. makin di buat kecewa.. memang kami hanya pemain biasa.. sama sekali tidak merugikan bagi anda kehilangan satu atau dua orang yang kecewa..",1,sehat akun mobile legend leg parah sinyal bagus bantu hadir komplain bukan akan sengaja kecewa main tidak rugi hilang orang kecewa
koneksi ga jelas mukul krip ga di kasih item warbiasah ....,1,koneksi tidak mukul krip tidak item warbiasah
"ketika kamu tak terkalahkan maka kamu akan di buat macet, seolah tidak ada signal, ini bukan lagi tentang hoki, tapi kecurangan,!! 3thn sudah saya memainkan mc, dan sekarang saya sudah muak sadar sudah banyak waktu yg yerbuang, uninstal adalah jalan keluarnya, semoga waktu kita bisa di manfaatkan dengan lebih bijak, bukan main mcgg",1,kalah macet tidak signal bukan untung tapi curang main muak sadar yerbuang uninstal jalan keluar moga manfaat bijak bukan
apaan dah tiba tiba koneksi ilang udah dikit lagi tuh full biji astro 10 gara gara koneksi jadi gagal malas main mending hapus,2,koneksi hilang dikit tuh full biji astro gara gara koneksi gagal malas mending hapus
"game apalah mau pindahin build nya gk bisa terus pas lagi enak"" nya maen malah login ulang sendiri terus gk bisa balik ke game nya",3,apa pindahin build tidak enak login ulang tidak
"cuma kurang suka cara bintang 3 comender gak kaya dulu,dulu sering sering make comender supaya up LV sekarang harus beli comender sampe 9 baru bisa b 3",5,kurang suka bintang comender tidak duludulu pakai comender up lv beli comender bintang
"gamenya bagus, tetapi turnamennya scam",2,bagus tetapi turnamen scam
seru banget cuy,5,seru cuy
collab sama squid game entar aku top up 100.000 diamond,5,collab squid entar top up diamond
setelah di oerbaiki jadi suka,5,oerbaiki suka
enakan magic cheas yg dimlbb daripada sekarang semakin lama semakin aneh nggk logis lagi jangan download game ini dah gue pensi main mcgg,1,enak cheas dimlbb aneh logis jangan download gue pensi
Udah Mantap . tapi tolong perbaiki Jaringanku yang ada di pelosok desa . terima kasih,5,mantap tapi tolong baik jaring pelosok desa terima
peyimpanan nya besar sekali,1,peyimpanan
"gamenya sih ok, tapi kadang sulit utk dapat hero",4,ok tapi kadang sulit hero
bagus karakter nya chibi,5,bagus karakter chibi
"ngelag, ngeframe",3,lag ngeframe
game nya si bagus tapi tolong muntun clone nya Amon di banyakin lagi 6 gakpapa dan ngebag apa gimana saat toko dikunci di ronde barikut nya hilang /keriset sendiri dan GK adil musuh dapat GGcart yang bagus aku dapat GGcart busuk,1,bagus tapi tolong muntun clone amon banyak apa ngebag toko kunci ronde barikut hilang riset tidak adil musuh ggcart bagus ggcart busuk
"GAME RUSAK, GA DIKASIH HERO YANG PAS, DIKASIH HERO YANG 1 GOLD TERUS PADAHAL UDAH LEVEL UP COMMANDER SAAT DI PERMAINAN",1,rusak tidak kasih hero kasih hero gold level up commander main
ANTI EMOSIONAL DARI PADA GAME MOBA ASLINYA + BIKIN RILEKS,5,anti emosional moba asli rileks
salah blesing terus game ampas ini bukan game santai,1,salah blesing ampas bukan santai
kalah terus kalo maen dpt karakter yang butuh susah bngt awas aja kyk gitu lagi lu tunggu aja moonton,1,kalah karakter butuh susah awas lu tunggu
"game sampah,beda id beda tingkat kehokian",1,sampahbeda id beda tingkat hoki
balikin commander mode magic crystal rune seperti dulu😡😡😡,3,balikin commander mode crystal rune
"ga mlbb, ga mcgg dua duanya judi bintang😂😂 (let's go gambling!!!)",1,tidak mlbb tidak dua judi bintang lets gambling
terkadang ada pemain yang sangat hoky. gampang dpt *3 padahal hero mahal. ga pernah dpt full hero..,1,terkadang main hoky gampang hero mahal tidak full hero
"gamenya hari saya uninstall dikarenakan eror..pas pemilihan equipment malah ga nongol equipment, sudah relog beberapa kali tetap aja ada bug tersebut",1,uninstall erorpas pilih equipment tidak nongol equipment relog bug
"game nya ga bisa di buat dengan fitur mode game di hp,jadi hp mudah panas baru main 3 x pertandingan",5,tidak fitur mode hpjadi ponsel mudah panas tanding
yuzhong nya hero 5ampas ngebug gakmau ulti,1,yuzhong hero ampas bug gakmau ulti
Saya senang sekali dengan permainan ini,5,senang main
gaskan mantap,5,gas mantap
saya sukai permainan yg Seru Menarik,5,suka main seru tarik
game scam apalahhhh,2,scam apalahhhh
"WOI DARIPADA LU BIKIN GAME² LAIN BISA AJA TUH MOBILE LEGEND LEBIH POPULER KARNA LU BIARIN SISTEM² JOKI ATAU BELI AKUN,DAN JUGA KASIH LAH HUKUMAN BUAT ORANG YANG DAPET KAYU TUH CUMA PAJANGAN DOANG,SKIN DIPERBAGUS KALO GAMEPLAY BIADAB YAA PERCUMA",1,lu game tuh mobile legend populer lu biarin sistem joki beli akundan hukum orang kayu tuh pajang doangskin bagus gameplay biadab
"kaga usah pake grapik sklian , udah grapik rendah tapi ttep frame ruang masih banyak kurangin tu efekmya",2,kagak grapik sklian grapik rendah tapi frame ruang kurang efekmya
Tolong tambahkan mode practice,3,tolong tambah mode practice
bauk roll nye malas,1,bauk roll nye malas
hmm game penghilang cocok yang udah stress sama ml,5,hmm hilang cocok stres ml
Yg kasih Bintang 1 cmn benci aja,5,bintang cuman benci
wah mantap ini ... tingkat terus pokonya beri kenyamanan pada customer hehehe,5,mantap tingkat pokok nyaman customer hehehe
blessingnya ngawur,1,blessingnya ngawur
Devloper Magic Ches Nya Seruan Yang lama tolong Pindahin ke ml nya. di Mohon PERUBAHAN nya 🙏,5,devloper ches seru tolong pindahin ml mohon ubah
game gak balance semua permainan player berburu hero 4gold dan 5gold bintang 3,1,tidak balance main player buru hero gold gold bintang
game gak ada keadilan sama sekali baru menang 2star udh dikasih kalah 6star karena gak dikasih hero,1,tidak adil menang star kasih kalah star tidak kasih hero
menarit dan seruh. susa untuk menang,5,menarit seruh susa menang
PERCAYALAH DI APLIKASINYA TIDAK BISA DIKASIH BINTANG,1,percaya aplikasi tidak kasih bintang
matap gass,5,matap gass
gak berguna,1,tidak guna
game drak sistem bikin kecanduan padahal lose win lose win kek judol lawak,1,drak sistem candu lose win lose win judol lawak
game seru kadang bikin stres karna gogocard,5,seru kadang stres gogocard
"ehh moonton ml mah sudh bgus tapi mohon ni mohon bngt ,yang namanya drakk sistem tu di ilangin. anjy",1,eh ml mah bagus tapi mohon nih mohon nama drakk sistem ilangin anjy
"10% strategi, 90% keberuntungan. dari segi grafik, skin dan karakter ok. tapi sayang systemnya tidak bisa sepenuhnya menggunakan strategi. yg ada hanya beradu keberuntungan. strategi no. kesekian. bagus MC di jaman mobile legend..",1,strategi untung segi grafik skin karakter ok tapi sayang systemnya tidak sepenuh strategi adu untung strategi nomor sekian bagus jaman mobile legend
PERBAIKI EROR JARINGAN NYA DEVELOPER KONYLTOOOLLL,1,baik eror koneksi developer konyltooolll
kok gw ngk bisa login sih ad yg sama ngkk,1,tidak login ngkk
saran gw mending bikin mc yg dulu,1,saran mending
game aneh Banget Udah tau Kalau lawan Yang Udah menang terus kalah tapi malah dikasih yang udah menang terus yah otomatis kalah lah,1,aneh lawan menang kalah tapi kasih menang otomatis kalah
good mantul yes,5,good mantap yes
player diprank mulu sama moonton,1,player diprank mulu
game gajelas lunox B3 kalah lawan vexana teriz kaja B2,1,lunox bintang kalah lawan vexana teriz kaja bintang
"tolong untuk ban comandernya bisa di revisi, berdasarkan voting. jadi yg terbanyak pertama dan kedua yg di ban bukan malah di acak jadi percuma kita milih kalau ujung2nya ngacak cara pilih ban comandernya trimss",5,tolong ban comandernya revisi dasar voting ban bukan acak pilih ujung ngacak pilih ban comandernya trimss
game busukkkk,1,busukkkk
jangan download nanti kalian ketagihan xixix,5,jangan download tagih xixix
Keseimbangan yang sangat buruk,1,imbang buruk
"game nya makin jelek, apknya nguras batere, mengecewakan",1,jelek apknya nguras batere kecewa
game bikin stresss,1,stresss
Asyikkkk,5,asyikkkk
Joss banggeeetttttttttt,5,joss banggeeetttttttttt
game tolol selalu ampas dapat gogocard,1,tolol ampas gogocard
"awalnya install coba tapi buat akun baru, sekarang mau sambung akun ke game utama ribet. udah niat maen karena lama gak main, karena metode login lumayan susah/ribet jadi uninstall lagi. mohon perbaiki",1,install coba tapi akun sambung akun utama ribet niat tidak metode login lumayan susahribet uninstall mohon baik
"mendingan aplikasinya kembali kayak dulu lagi, sekarang skin skin yang dulu pernah beli atau dapat hilang pas sudah rilis mcgg gini, tolong diperbaikikan min yang baru comeback pake akun pas ngeliat akun nya skin nya kok ada kurang jadi males main",1,mending aplikasi skin skin beli hilang rilis tolong diperbaikikan min comeback akun akun skin kurang malas
baru 1 bulan main ini langsung ketagihan hahahh,5,langsung tagih hahahh
minta tolong yg sebesar besarnya monton saya kan selalu mabar 4 tapi pas glori yg bisa cuman dua player yang main capek gua min suren mulu klo uda glori supaya bisa main ama teman mohon yg sebesar²nya glori bisa mabar 4 juga atau akun saya maksimalkan di honor aja .!!!,5,tolong besar monton mabar tapi glori cuman player capek min suren mulu glori teman mohon besar nya glori mabar akun maksimal honor
maaf min gua kasih bintang 1 soalnya kalo download data nya nanti pake data seluler kalo pake wifi nggak bisa 😡👎,1,maaf min bintang download data data seluler wifi
"game yang sangat buruk!!!,, seharusnya gw dikasih kemenangan malah kembali ke tampilan awal sendiri tanpa sebab yang jelas....",1,buruk kasih menang tampil
"akun saya Tertabrak oleh hp orang lain, gimana solusi untuk memperbaiki masalah tersebut",2,akun tabrak ponsel orang solusi baik
"benerin fitur ban nya,masa yang paling banyak divote tapi yang ke ban cuma yang vote dikit",5,benerin fitur ban nyamasa divote tapi ban vote dikit
mantap ʀᴀᴊᴊᴀᴀ ᴊᴜɴɪᴏʀʀ,5,mantap  
game bosok,1,bosok
iklan nya lumayan dari pada mlbb tapi jangan iklan di kucing pink juga bg,5,iklan lumayan mlbb tapi jangan iklan kucing pink
"GAME BURUK, SISTEM HARUS DI PERBAIKI LAGI!!!",1,buruk sistem baik
"saya ingin pengalaman yang lebih menarik,tolong sediakan fitur squad seperti chess rush,jadi 4 vs 4 (antar squad) pasti akan lebih seru,terima kasih yaa",5,alam menariktolong sedia fitur squad rushjadi vs squad seruterima
100 pertandingan baru mytic😭,5,tanding mytic
terbaiklah saat waktu mepet👍👍,5,baik mepet
"jelek banget ga kaya dulu,Hero ngacak banget susah bgt jadi sinerginya",1,jelek tidak duluhero ngacak susah sinergi
pengalaman bermain sangat buruk,1,alam main buruk
"kasih waktu yang lama lah, cuma 30 detik buat apa, semenit lah minimal",3,detik menit minimal
apalah masa ganti akun harus nunggu data nya selesai,1,apa ganti akun nunggu data selesai
"sama mau coba protes setelah update kenapa yah menghubungkan terus pas lagi main , saya buka YT dll lancar kenapa jdi lag2 menghubungkan begini , SAYA JADI KALAH TERUSSSSSSS NIHHHH!!!!!",1,coba protes update hubung buka yt dll lancar lag hubung kalah terusssssss nihhhh
"game gajelas, banyak hero hero yang harus di buff dan di nerf, padahal sinergi gua udah bagus banget, tapi gajelas ni game. ini game cocok nya buat mau stres, nah cocok nih maen game ini. di jamin stress",1,hero hero buff nerf sinergi bagus tapi nih cocok stres cocok nih jamin stres
game gacha 20% untuk dapet Hero yg dibutuhkan,1,gacha hero butuh
"strategi 1% keberuntungan 99%, game dengan menu dark sistem sma aja kyak MLBB smakin sring on smkin susah heronya acak adut,,",1,strategi untung menu dark sistem mlbb sring on smkin susah hero acak adut
game nya seru Dan menarik untuk di mainkan,5,seru tarik main
Game nya kurang seru aku main kalau ganti blessing gak sesuai harapan terus memang aneh,1,kurang seru ganti blessing tidak sesuai harap aneh
yeyyyy,5,yeyyyy
"aku udah mainin magic chess dari bertahun tahun yg lalu, seru bgtt",5,mainin tahun seru
montoon kikir,1,montoon kikir
update lagi dong yg lebih bagus tampilannya sama banyakin bonus bonus dan diskon untuk beli chess board nya,2,update bagus tampil banyak bonus bonus diskon beli board
"enak main nya, santai dan gk bikin emosi",5,enak santai tidak emosi
"fatebox gajelas,musuh bisa dapat hero bintang 3 seharga 5 gold di level 9.sedangkan gw cari hero 5 gold yang di inginkan aja susah di level 9. susah banget dapat hero untuk sinergi yang lagi dibuat sementara musuh gampang dapetin hero dengan sinergi yang dibuat. makin kemari makin busuk,belum lagi sistem dibenahin udah muncul commander baru yang makin gak masuk akal skill nya. keliatan game ini hanya mikirkan player untuk membeli commander dengan diamond tanpa memikirkan untuk perbaiki sistem.",1,fatebox gajelasmusuh hero bintang harga gold level cari hero gold susah level susah hero sinergi musuh gampang hero sinergi kemari busukbelum sistem dibenahin muncul commander tidak masuk akal skill mikirkan player beli commander diamond pikir baik sistem
ok sip,5,ok sip
"sistem down sendiri padahal sudah masuk game, masuk lagi down lagi sangat merugikan player padahal sudah naik bintang alhasil turun lagi.. tolong perbaiki demi kelancaran, gausah banyak even ga jelas memperberat game",1,sistem down masuk masuk down rugi player bintang alhasil turun tolong baik lancar even tidak berat
ngak bisa di gunakan baru aja maen ajing emang,1,ajing
suka karna gw gajorrrr😀,5,suka gajorrrr
game nya bagussss kaya agussssss,5,bagus agussssss
"game nya sangat bagus bahkan bisa bermain bersama teman"" jadi semakin seru",5,bagus main teman seru
