preprocess,kata_kunci,score,predicted_aspect,details
lag parah koneksi putus putus chat cs tidak ngaruh,"['chat', 'koneksi', 'cs', 'putus', 'lag', 'ngaruh', 'tidak', 'parah']","{'effectiveness': 1.0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('lag', 'lag', 100.0)], 'satisfaction': [('chat', 'sehat', 85.71428571428572), ('putus', 'putus asa', 100.0)]}"
kasih minn tidak biji eru min,"['kasih', 'minn', 'tidak', 'min', 'biji', 'eru']","{'effectiveness': 0.8, 'satisfaction': 2.6}",satisfaction,"{'effectiveness': [('eru', 'eror', 80.0)], 'satisfaction': [('kasih', 'ekspektasi', 80.0), ('min', 'yakin', 80.0), ('eru', 'seru', 100.0)]}"
ngestuck koneksi wifi stabil tolong benerin,"['wifi', 'koneksi', 'ngestuck', 'stabil', 'benerin', 'tolong']","{'effectiveness': 2.0, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('stabil', 'stabil', 100.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': []}"
lunox hps lunox,"['lunox', 'hps']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
tolol lag,"['lag', 'tolol']","{'effectiveness': 1.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('lag', 'lag', 100.0), ('tolol', 'pertolongan', 80.0)], 'satisfaction': []}"
update sinyal hilang mulu rank orang emosi tonton video lancar jelek,"['video', 'hilang', 'sinyal', 'emosi', 'update', 'orang', 'jelek', 'rank', 'lancar', 'mulu']","{'effectiveness': 3.71, 'satisfaction': 4.43}",satisfaction,"{'effectiveness': [('emosi', 'opsi', 85.71428571428572), ('rank', 'kebenaran', 85.71428571428572), ('lancar', 'lancar', 100.0), ('mulu', 'mulus', 100.0)], 'satisfaction': [('hilang', 'luang', 88.88888888888889), ('emosi', 'membosankan', 80.0), ('orang', 'curang', 88.88888888888889), ('jelek', 'jelek', 100.0), ('rank', 'rancu', 85.71428571428572)]}"
busuk update tapi lag koneksi bagus,"['update', 'lag', 'koneksi', 'busuk', 'bagus', 'tapi']","{'effectiveness': 1.8, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('lag', 'lag', 100.0), ('busuk', 'bug', 80.0)], 'satisfaction': [('busuk', 'suka', 85.71428571428572), ('bagus', 'bagus', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
sip bagus,"['bagus', 'sip']","{'effectiveness': 0.8, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [('sip', 'akurasi', 80.0)], 'satisfaction': [('bagus', 'bagus', 100.0), ('sip', 'fungsi', 80.0)]}"
sinyal tidak stabil,"['sinyal', 'stabil', 'tidak']","{'effectiveness': 1.0, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('stabil', 'stabil', 100.0)], 'satisfaction': []}"
sistem aneh commander lunox blessing sistem tidak sinergi gameplay sinergi aktif sinergi rubah sinergi lambat sistem kocok toko gold habis hero perlu lengkap sinergi sistem mudah player player lantar tidak perhati,"['sinergi', 'gameplay', 'commander', 'lunox', 'sistem', 'kocok', 'lantar', 'player', 'hero', 'blessing']","{'effectiveness': 1.69, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('lantar', 'lancar', 83.33333333333334), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('blessing', 'bising', 80.0)]}"
asah mampu main strategi,"['strategi', 'mampu', 'main', 'asah']","{'effectiveness': 0.86, 'satisfaction': 2.51}",satisfaction,"{'effectiveness': [('asah', 'crash', 85.71428571428572)], 'satisfaction': [('strategi', 'setara', 80.0), ('main', 'manfaat', 85.71428571428572), ('asah', 'gelisah', 85.71428571428572)]}"
mantaapp,['mantaapp'],"{'effectiveness': 0, 'satisfaction': 0.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantaapp', 'mantap', 90.9090909090909)]}"
enak main,"['enak', 'main']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('main', 'manfaat', 85.71428571428572)]}"
bagus atur strategi bilang tipe santai ketimbang mlbb,"['strategi', 'santai', 'ketimbang', 'atur', 'tipe', 'bagus', 'bilang', 'mlbb']","{'effectiveness': 0, 'satisfaction': 4.61}",satisfaction,"{'effectiveness': [], 'satisfaction': [('strategi', 'setara', 80.0), ('santai', 'santai', 100.0), ('ketimbang', 'bimbang', 92.3076923076923), ('bagus', 'bagus', 100.0), ('bilang', 'luang', 88.88888888888889)]}"
bugnya rilis belum perfect,"['bugnya', 'belum', 'rilis', 'perfect']","{'effectiveness': 1.0, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('bugnya', 'bug', 100.0)], 'satisfaction': []}"
judi modal untung doang minim strategi,"['judi', 'strategi', 'minim', 'untung', 'doang', 'modal']","{'effectiveness': 0, 'satisfaction': 1.69}",satisfaction,"{'effectiveness': [], 'satisfaction': [('strategi', 'setara', 80.0), ('doang', 'sedang', 88.88888888888889)]}"
sukadan bagus,"['bagus', 'sukadan']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('sukadan', 'suka', 100.0)]}"
bagus gabung mobile legend,"['mobile', 'legend', 'bagus', 'gabung']","{'effectiveness': 0.83, 'satisfaction': 2.75}",satisfaction,"{'effectiveness': [('legend', 'pengendalian', 83.33333333333334)], 'satisfaction': [('legend', 'lega', 85.71428571428572), ('bagus', 'bagus', 100.0), ('gabung', 'gabut', 88.88888888888889)]}"
tolong benerin bug hubung ulang sinyal bagus,"['sinyal', 'bug', 'tolong', 'hubung', 'bagus', 'benerin', 'ulang']","{'effectiveness': 2.0, 'satisfaction': 2.69}",satisfaction,"{'effectiveness': [('bug', 'bug', 100.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('bug', 'buruk', 80.0), ('bagus', 'bagus', 100.0), ('ulang', 'luang', 88.88888888888889)]}"
suka asik mabar teman skin gratis mula main,"['suka', 'teman', 'asik', 'gratis', 'mula', 'skin', 'main', 'mabar']","{'effectiveness': 1.71, 'satisfaction': 5.26}",satisfaction,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572), ('mula', 'mulus', 85.71428571428572)], 'satisfaction': [('suka', 'suka', 100.0), ('teman', 'aman', 85.71428571428572), ('asik', 'motivasi', 85.71428571428572), ('gratis', 'praktis', 83.33333333333334), ('skin', 'yakin', 85.71428571428572), ('main', 'manfaat', 85.71428571428572)]}"
tidak lapor hilang lapor tanggap habis match paksa mode tonton mabar teman tinggal relof bentar tonton teman dilobby tonton tapi lobby tonton tidak,"['lobby', 'hilang', 'tapi', 'tidak', 'tanggap', 'habis', 'teman', 'paksa', 'match', 'lapor']","{'effectiveness': 0.8, 'satisfaction': 4.2}",satisfaction,"{'effectiveness': [('lapor', 'lag', 80.0)], 'satisfaction': [('hilang', 'luang', 88.88888888888889), ('tapi', 'mantap', 85.71428571428572), ('tanggap', 'tenang', 80.0), ('teman', 'aman', 85.71428571428572), ('paksa', 'kepuasan', 80.0)]}"
tipumain bukan dasar skill pintar atur strategi dlltapi dasar ting gamenyakapan menang kalah atur herro item perlu sengaja sulit mmng harus kalahada segi herro item sinergi bagus lawan tapi kalahjadi heran hibur stresssering bolak poin samagame sampah asusetingannya,"['gamenyakapan', 'sulit', 'kalahjadi', 'lawan', 'kalah', 'skill', 'strategi', 'asusetingannya', 'tipumain', 'dlltapi']","{'effectiveness': 1.69, 'satisfaction': 3.46}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('sulit', 'kesulitan', 100.0), ('kalahjadi', 'adil', 85.71428571428572), ('lawan', 'kelelahan', 80.0), ('strategi', 'setara', 80.0)]}"
mantap bosque,"['bosque', 'mantap']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
bagus rune balik,"['bagus', 'rune', 'balik']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0)]}"
elmentalis kakak monton,"['elmentalis', 'monton', 'kakak']","{'effectiveness': 0, 'satisfaction': 1.63}",satisfaction,"{'effectiveness': [], 'satisfaction': [('monton', 'monoton', 83.33333333333334), ('kakak', 'meningkatkan', 80.0)]}"
baik koneksi masak hubung ulang rilok masuk masuk kalah kocak,"['koneksi', 'rilok', 'hubung', 'baik', 'kocak', 'ulang', 'kalah', 'masuk', 'masak']","{'effectiveness': 2.58, 'satisfaction': 3.55}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('masuk', 'maksud', 80.0), ('masak', 'masalah', 88.88888888888889)], 'satisfaction': [('rilok', 'rileks', 80.0), ('baik', 'baik', 100.0), ('ulang', 'luang', 88.88888888888889), ('masuk', 'suka', 85.71428571428572)]}"
kerenapalagi mode rush royale,"['mode', 'royale', 'rush', 'kerenapalagi']","{'effectiveness': 1.86, 'satisfaction': 1.86}",effectiveness,"{'effectiveness': [('rush', 'rusak', 85.71428571428572), ('kerenapalagi', 'lag', 100.0)], 'satisfaction': [('rush', 'rusuh', 85.71428571428572), ('kerenapalagi', 'keren', 100.0)]}"
moga match making adil tarik,"['match', 'tarik', 'adil', 'making', 'moga']","{'effectiveness': 0.86, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('adil', 'detail', 85.71428571428572)], 'satisfaction': [('tarik', 'tertarik', 100.0), ('adil', 'adil', 100.0), ('making', 'yakin', 80.0)]}"
coba tolong putar vs bnerin barusan lawan a putar lawan a lebih bagus,"['lawan', 'bnerin', 'coba', 'lebih', 'vs', 'barusan', 'tolong', 'putar', 'bagus']","{'effectiveness': 2.6, 'satisfaction': 3.4}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('barusan', 'rusak', 80.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('lebih', 'letih', 80.0), ('barusan', 'bagus', 80.0), ('bagus', 'bagus', 100.0)]}"
min mode offlinesaya reting bintng,"['offlinesaya', 'reting', 'mode', 'bintng', 'min']","{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('min', 'yakin', 80.0)]}"
hero dawnbringersetelah ambilhabis tidak tampak hero entar tidak ambilmuncul hero bongkar pasang sinergikalah damage lawan,"['hero', 'lawan', 'dawnbringersetelah', 'bongkar', 'pasang', 'ambilmuncul', 'ambilhabis', 'entar', 'tampak', 'tidak']","{'effectiveness': 3.26, 'satisfaction': 4.06}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('lawan', 'kesalahan', 80.0), ('pasang', 'pengawasan', 80.0), ('entar', 'kebenaran', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('bongkar', 'bohong', 80.0), ('pasang', 'puas', 85.71428571428572), ('entar', 'tentram', 80.0), ('tampak', 'tampilan', 80.0)]}"
selasa sumpah monton plz jangan pisah magicchess ml ribet tidak pindah ogin ulanglol,"['sumpah', 'ulanglol', 'magicchess', 'plz', 'jangan', 'ribet', 'monton', 'tidak', 'pindah', 'pisah']","{'effectiveness': 0.8, 'satisfaction': 4.23}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0)], 'satisfaction': [('ulanglol', 'luang', 80.0), ('jangan', 'kesenangan', 90.9090909090909), ('ribet', 'ribut', 80.0), ('monton', 'monoton', 83.33333333333334), ('pisah', 'gelisah', 88.88888888888889)]}"
ok lumayan tapi kadang emosi,"['emosi', 'kadang', 'lumayan', 'ok', 'tapi']","{'effectiveness': 0.86, 'satisfaction': 3.46}",satisfaction,"{'effectiveness': [('emosi', 'opsi', 85.71428571428572)], 'satisfaction': [('emosi', 'membosankan', 80.0), ('kadang', 'sedang', 80.0), ('lumayan', 'lumayan', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
kurang iven gratis tidak ml kalok ml gratis,"['gratis', 'kurang', 'kalok', 'tidak', 'iven', 'ml']","{'effectiveness': 0, 'satisfaction': 1.74}",satisfaction,"{'effectiveness': [], 'satisfaction': [('gratis', 'praktis', 83.33333333333334), ('kurang', 'curang', 90.9090909090909)]}"
idiot cari hero susah gilir musuh gampang cari,"['hero', 'musuh', 'idiot', 'gilir', 'susah', 'cari', 'gampang']","{'effectiveness': 1.71, 'satisfaction': 2.89}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('cari', 'lancar', 85.71428571428572)], 'satisfaction': [('musuh', 'rusuh', 88.88888888888889), ('susah', 'susah', 100.0), ('gampang', 'gampang', 100.0)]}"
games tidak rugi games tidak otak,"['games', 'otak', 'rugi', 'tidak']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
suka tidak player toxic seru main kalah bintang turun ayo cepat install main ok mantap,"['ayo', 'turun', 'cepat', 'suka', 'mantap', 'main', 'kalah', 'ok', 'install', 'tidak']","{'effectiveness': 1.69, 'satisfaction': 3.66}",satisfaction,"{'effectiveness': [('cepat', 'ketepatan', 80.0), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('turun', 'menurunkan', 80.0), ('suka', 'suka', 100.0), ('mantap', 'mantap', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
main dark sistem gogo cardsynergi dll slot njing,"['cardsynergi', 'gogo', 'slot', 'dark', 'sistem', 'dll', 'main', 'njing']","{'effectiveness': 0, 'satisfaction': 1.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('njing', 'meningkatkan', 80.0)]}"
sulitt masuk akun tolong mudah akun konyolll,"['akun', 'masuk', 'sulitt', 'tolong', 'konyolll', 'mudah']","{'effectiveness': 2.66, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572), ('masuk', 'maksud', 80.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('masuk', 'suka', 85.71428571428572), ('sulitt', 'sulit', 100.0), ('mudah', 'mudah', 100.0)]}"
update down hubung ulang terusssss jaringansinyal bagus tidak ganggu,"['update', 'jaringansinyal', 'terusssss', 'bagus', 'ganggu', 'hubung', 'ulang', 'tidak']","{'effectiveness': 0, 'satisfaction': 2.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('ganggu', 'ganggu', 100.0), ('ulang', 'luang', 88.88888888888889)]}"
tidak adil menang sinergi vs sinergi acak menang sinergi acak,"['sinergi', 'vs', 'adil', 'acak', 'menang', 'tidak']","{'effectiveness': 0.86, 'satisfaction': 1.91}",satisfaction,"{'effectiveness': [('adil', 'detail', 85.71428571428572)], 'satisfaction': [('adil', 'adil', 100.0), ('menang', 'tenang', 90.9090909090909)]}"
tidak masuk dalam rank stuck cari tanding coba,"['rank', 'tidak', 'stuck', 'tanding', 'cari', 'coba', 'masuk', 'dalam']","{'effectiveness': 3.4, 'satisfaction': 1.71}",effectiveness,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572), ('cari', 'lancar', 85.71428571428572), ('masuk', 'maksud', 80.0), ('dalam', 'kendala', 88.88888888888889)], 'satisfaction': [('rank', 'rancu', 85.71428571428572), ('masuk', 'suka', 85.71428571428572)]}"
main seru tapi tolong hapuss cheat,"['cheat', 'tolong', 'tapi', 'main', 'seru', 'hapuss']","{'effectiveness': 1.0, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0)], 'satisfaction': [('tapi', 'mantap', 85.71428571428572), ('main', 'manfaat', 85.71428571428572), ('seru', 'seru', 100.0)]}"
dikit dikit koneksi t,"['koneksi', 'dikit']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
lag delay detik tidak ngotak ponsel cepat panas semenjak update ginih suka tidak berat,"['delay', 'ponsel', 'cepat', 'update', 'lag', 'semenjak', 'detik', 'panas', 'ginih', 'ngotak']","{'effectiveness': 2.6, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('cepat', 'ketepatan', 80.0), ('lag', 'lag', 100.0), ('detik', 'detail', 80.0)], 'satisfaction': []}"
bagus tapi kesel cepat jeda tarung tolong lama jeda babak babak,"['kesel', 'babak', 'cepat', 'lama', 'bagus', 'tolong', 'tapi', 'jeda', 'tarung']","{'effectiveness': 5.26, 'satisfaction': 4.46}",effectiveness,"{'effectiveness': [('kesel', 'ketelitian', 80.0), ('cepat', 'ketepatan', 80.0), ('lama', 'lambat', 85.71428571428572), ('tolong', 'pertolongan', 100.0), ('jeda', 'jeda', 100.0), ('tarung', 'target', 80.0)], 'satisfaction': [('kesel', 'kesenangan', 88.88888888888889), ('babak', 'baik', 85.71428571428572), ('lama', 'aman', 85.71428571428572), ('bagus', 'bagus', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
minkenapa mabar glory duaupdate min glory rank mabar doang tidak seru,"['glory', 'doang', 'min', 'rank', 'seru', 'minkenapa', 'mabar', 'duaupdate', 'tidak']","{'effectiveness': 0.86, 'satisfaction': 3.55}",satisfaction,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572)], 'satisfaction': [('doang', 'sedang', 88.88888888888889), ('min', 'yakin', 80.0), ('rank', 'rancu', 85.71428571428572), ('seru', 'seru', 100.0)]}"
mabar glory tolong kondisi min,"['glory', 'min', 'tolong', 'kondisi', 'mabar']","{'effectiveness': 1.0, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('tolong', 'pertolongan', 100.0)], 'satisfaction': [('min', 'yakin', 80.0)]}"
rekomended malas pikir mekanik dll cocok suka tidak berat berat cuman sedikit saran developer asih fitur login thx,"['rekomended', 'login', 'mekanik', 'fitur', 'developer', 'saran', 'berat', 'malas', 'dll', 'sedikit']","{'effectiveness': 0.89, 'satisfaction': 2.72}",satisfaction,"{'effectiveness': [('saran', 'pemeriksaan', 88.88888888888889)], 'satisfaction': [('mekanik', 'menikmati', 83.33333333333334), ('malas', 'malas', 100.0), ('sedikit', 'sedih', 88.88888888888889)]}"
okkkkkkkk,['okkkkkkkk'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
unbalanced cheater,"['cheater', 'unbalanced']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
not bad,['bad'],"{'effectiveness': 0.8, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('bad', 'bantuan', 80.0)], 'satisfaction': [('bad', 'adaptasi', 80.0)]}"
coba mitik slot hero bintang kagak cape roll gold tidak bintang stok hero lo tidak dibenerin peensi,"['hero', 'cape', 'bintang', 'stok', 'kagak', 'mitik', 'lo', 'tidak', 'gold', 'coba']","{'effectiveness': 2.71, 'satisfaction': 1.8}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('cape', 'capaian', 85.71428571428572), ('lo', 'pertolongan', 100.0)], 'satisfaction': [('cape', 'capek', 100.0), ('bintang', 'tenang', 80.0)]}"
tolong commander wanwan hapus hama campur hero line up rating hapus commander rating hapus commander hama miya wanwan tolong,"['wanwan', 'commander', 'hama', 'rating', 'hero', 'miya', 'hapus', 'tolong', 'campur', 'line']","{'effectiveness': 2.71, 'satisfaction': 3.31}",satisfaction,"{'effectiveness': [('hama', 'hambatan', 85.71428571428572), ('hero', 'eror', 85.71428571428572), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('wanwan', 'kekecewaan', 80.0), ('hama', 'aman', 85.71428571428572), ('rating', 'curang', 80.0), ('hapus', 'puas', 85.71428571428572)]}"
tolol baik sistem paki hero harley bukan sinrgi mainin aneh ubah ngstack legendgara hero sampah bukan hero sinrgi hero,"['hero', 'harley', 'tolol', 'bukan', 'sampah', 'legendgara', 'ngstack', 'aneh', 'baik', 'sinrgi']","{'effectiveness': 2.46, 'satisfaction': 4.26}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('tolol', 'pertolongan', 80.0), ('bukan', 'bug', 80.0)], 'satisfaction': [('bukan', 'menurunkan', 80.0), ('sampah', 'samar', 80.0), ('legendgara', 'lega', 85.71428571428572), ('baik', 'baik', 100.0), ('sinrgi', 'bising', 80.0)]}"
ampas stok hero kecil roll susah hama roll enak hero sedikit,"['stok', 'enak', 'kecil', 'sedikit', 'roll', 'hero', 'ampas', 'susah', 'hama']","{'effectiveness': 1.71, 'satisfaction': 3.6}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('hama', 'hambatan', 85.71428571428572)], 'satisfaction': [('sedikit', 'sedih', 88.88888888888889), ('ampas', 'puas', 85.71428571428572), ('susah', 'susah', 100.0), ('hama', 'aman', 85.71428571428572)]}"
seru capai glory seru main,"['glory', 'seru', 'capai', 'main']","{'effectiveness': 1.0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('capai', 'capaian', 100.0)], 'satisfaction': [('seru', 'seru', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
adakan comander power megic power lawan mudah atur serang racik sinergy pleace,"['lawan', 'power', 'serang', 'sinergy', 'comander', 'megic', 'adakan', 'racik', 'atur', 'pleace']","{'effectiveness': 0.8, 'satisfaction': 1.71}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('serang', 'terang', 90.9090909090909)]}"
bagus min,"['bagus', 'min']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('min', 'yakin', 80.0)]}"
hibur metime,"['hibur', 'metime']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('hibur', 'menghibur', 100.0)]}"
seru cocok main santai,"['santai', 'cocok', 'main', 'seru']","{'effectiveness': 0, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('santai', 'santai', 100.0), ('main', 'manfaat', 85.71428571428572), ('seru', 'seru', 100.0)]}"
hero bagong,"['hero', 'bagong']","{'effectiveness': 0.86, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('bagong', 'bimbang', 80.0)]}"
andai comander milik skill,"['skill', 'comander', 'milik', 'andai']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('andai', 'kendali', 80.0)], 'satisfaction': [('andai', 'santai', 80.0)]}"
tidak komen lebar sangan bagus suka,"['bagus', 'suka', 'komen', 'tidak', 'lebar', 'sangan']","{'effectiveness': 0.8, 'satisfaction': 3.71}",satisfaction,"{'effectiveness': [('sangan', 'pemeriksaan', 80.0)], 'satisfaction': [('bagus', 'bagus', 100.0), ('suka', 'suka', 100.0), ('komen', 'kompensasi', 80.0), ('sangan', 'kesenangan', 90.9090909090909)]}"
error lock shop kagak lock hero,"['lock', 'hero', 'error', 'shop', 'kagak']","{'effectiveness': 1.71, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('error', 'eror', 85.71428571428572)], 'satisfaction': []}"
seruuu tapi room mode rank tambain player biar mabar rame teman,"['teman', 'room', 'biar', 'tambain', 'player', 'rame', 'rank', 'tapi', 'seruuu', 'mode']","{'effectiveness': 0.86, 'satisfaction': 5.23}",satisfaction,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572)], 'satisfaction': [('teman', 'aman', 85.71428571428572), ('tambain', 'damai', 80.0), ('rame', 'tentram', 85.71428571428572), ('rank', 'rancu', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('seruuu', 'seru', 100.0)]}"
tolol banyak player hama roll roll tidak tenang tll banyak hero gold roll ketemu main roll lin tabrak bagus hero gold turunin baik,"['roll', 'tabrak', 'tolol', 'player', 'turunin', 'bagus', 'hero', 'gold', 'banyak', 'baik']","{'effectiveness': 1.66, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('tolol', 'pertolongan', 80.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('tabrak', 'setara', 80.0), ('bagus', 'bagus', 100.0), ('baik', 'baik', 100.0)]}"
lawak,['lawak'],"{'effectiveness': 0.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('lawak', 'lag', 80.0)], 'satisfaction': []}"
gobloggggggg tidak untung cookkk susah main gara gara tidak untung,"['gobloggggggg', 'cookkk', 'susah', 'untung', 'tidak', 'gara', 'main']","{'effectiveness': 0, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [], 'satisfaction': [('susah', 'susah', 100.0), ('gara', 'segar', 85.71428571428572), ('main', 'manfaat', 85.71428571428572)]}"
tidak nih nerf,"['tidak', 'nih', 'nerf']","{'effectiveness': 0.8, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('nih', 'meraih', 80.0)], 'satisfaction': [('nih', 'nilai', 80.0)]}"
tidak los streak tidak win strike imbang enak main,"['win', 'imbang', 'los', 'streak', 'strike', 'tidak', 'main', 'enak']","{'effectiveness': 0, 'satisfaction': 3.55}",satisfaction,"{'effectiveness': [], 'satisfaction': [('win', 'yakin', 80.0), ('imbang', 'bimbang', 100.0), ('streak', 'stres', 88.88888888888889), ('main', 'manfaat', 85.71428571428572)]}"
unik tantang,"['unik', 'tantang']","{'effectiveness': 0, 'satisfaction': 1.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('unik', 'nikmat', 85.71428571428572), ('tantang', 'tenang', 80.0)]}"
habis updet eror baik,"['habis', 'baik', 'updet', 'eror']","{'effectiveness': 1.0, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('eror', 'eror', 100.0)], 'satisfaction': [('baik', 'baik', 100.0)]}"
baik abad,"['abad', 'baik']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('baik', 'baik', 100.0)]}"
senang bug musuh bot gampang usahain lawan keras keras,"['lawan', 'bot', 'musuh', 'keras', 'usahain', 'bug', 'gampang', 'senang']","{'effectiveness': 3.4, 'satisfaction': 7.07}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('bot', 'lemot', 80.0), ('keras', 'akurasi', 80.0), ('bug', 'bug', 100.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('bot', 'bonus', 80.0), ('musuh', 'rusuh', 88.88888888888889), ('keras', 'keraguan', 88.88888888888889), ('usahain', 'susah', 88.88888888888889), ('bug', 'buruk', 80.0), ('gampang', 'gampang', 100.0), ('senang', 'kesenangan', 100.0)]}"
oke,['oke'],"{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('oke', 'ketepatan', 80.0)], 'satisfaction': [('oke', 'kepuasan', 80.0)]}"
parah sinergi gelo,"['gelo', 'sinergi', 'parah']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('gelo', 'gelisah', 85.71428571428572)]}"
tolong card adil pilih jelek musuh bagus bagus susah cari hero naikin bintang server error,"['card', 'musuh', 'bintang', 'hero', 'server', 'pilih', 'jelek', 'naikin', 'cari', 'susah']","{'effectiveness': 3.57, 'satisfaction': 5.35}",satisfaction,"{'effectiveness': [('card', 'lancar', 85.71428571428572), ('hero', 'eror', 85.71428571428572), ('pilih', 'pilihan', 100.0), ('cari', 'lancar', 85.71428571428572)], 'satisfaction': [('musuh', 'rusuh', 88.88888888888889), ('bintang', 'tenang', 80.0), ('server', 'seru', 85.71428571428572), ('jelek', 'jelek', 100.0), ('naikin', 'yakin', 80.0), ('susah', 'susah', 100.0)]}"
